GL,Age,CAD,Area,CADU,Caste,Scheme,UsedRv,Balance,Product,TotOsNF,Activity,AdhocAmt,District,InttRate,InttType,Religion,TotalAdv,AppGovGur,CURQTRINT,GLProduct,PRVQTRINT,RvPrimary,SubSector,Unsecured,Occupation,TotLimitNF,CoverGovGur,DepValPlant,FORMATGROUP,ACCTotalProv,BaselCatMark,CURRENTLIMIT,Constitution,CurQtrCredit,DRAWINGPOWER,FACILITYTYPE,PREQTRCREDIT,ProcessingDt,UnAdjSubSidy,UnappliedInt,ProvUnsecured,TotalWriteOff,AppropriatedRv,CUSTOMERSTATUS,OrgCostOfEquip,TotLimitFunded,Cust_AssetClass,LimitSanctioned,PriCashSecurity,CollCashSecurity,FACILITIESSTATUS,CollNonCRMSecurity,NextOneYrFacStatus,OrgCostOfPlantMech
OD STAFF,34,0,URBAN,0,GENERAL,ANY OTHER,245262,245262.43,741,0,STAFF- OTHER PERSONAL LOANS,0,DEOGHAR,9,0,HINDU,2659210.43,0,7089,247,71,5500000,OTHER NON PRIORITY SECTOR,0,DATA / VALUE NOT PROVIDED,0,0,0,B,981,0,350000,INDIVIDUAL- MALE,185914,350000,OD,213806,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,507272,STD,0,5287000,1,250000,254566.47300702962,8444.205467885426,STD,2035593.8648014432,0,0
TL - TO SSI,48,0,RURAL,0,GENERAL,DATA / VALUE NOT PROVIDED,257382,257381.7,1076,0,PRIORITY SECTOR OTHERS,2741.8165798845084,KOLHAPUR,11.5,0,HINDU,257381.7,0,0,729,0,500000,OTHER PRIORITY SECTOR,0,DATA / VALUE NOT PROVIDED,0,0,0,C,643,0,450000,INDIVIDUAL- MALE,0,450000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,500000,STD,0,450000,1,450000,0,0,STD,0,1,0
CC-AGRICULTURE ACTIVITIES,52,0,RURAL,0,OBC,KISAN CREDIT CARD,194327,194326.53,283,0,VEGETABLES-MIXED,0,GANDHINAGAR,7,0,HINDU,194326.53,0,23393,194,40998,350000,AGRICULTURE - SHORT TERM,0,FARMER,0,0,0,B,486,0,275000,INDIVIDUAL- MALE,411207,210000,CC,623093,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,350000,STD,0,275000,1,143000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,45,0,URBAN,0,DATA / VALUE NOT PROVIDED,KISAN CREDIT CARD,0,0,283,0,SUGARCANE,0,LATUR,7,0,HINDU,0,0,0,194,0,200000,AGRICULTURE - SHORT TERM,1,OTHERS,0,0,0,B,0,0,200000,INDIVIDUAL- MALE,0,200000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,1,0,0,STD,0,200000,1,200000,0,0,STD,0,0,0
CC-SSI,47.3604653021062,2983432,METROPOLITAN,0,DATA / VALUE NOT PROVIDED,ANY OTHER,2983433,2983432,270,0,MANUFACTURE OF BREAKFAST   FOODS,0,SURAT,16.25,0,DATA / VALUE NOT PROVIDED,7094714,0,0,179,0,23960689,MANUFACTURING - MICRO ENTERPRISES,0,DATA / VALUE NOT PROVIDED,0,0,0,B,1193373,1,3000000,OTHER,0,3300000,CC,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,10075824,DB2,0,7774551,4,3000000,0,0,DB2,0,1,100000
TL - - RETAIL SCHEMES,45,0,METROPOLITAN,938065,GENERAL,DENA NIVAS,702941,702941,183,0,PURCHASE OF HOUSE/ FLAT/ APARTMENT ETC,2741.8165798845084,PUNE,10.45,0,OTHERS,702941,0,0,387,0,2825000,HOUSING - PS,0,BUSINESSMAN / TRADER,0,0,0,C,2812,0,800000,INDIVIDUAL- MALE,0,800000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,2825000,STD,0,800000,1,800000,0,0,STD,0,0,0
CC-AGRICULTURE ACTIVITIES,59,0,RURAL,0,OBC,DENA KIASN CRESDIT CARD– PAIS,299975,299975,283,0,COTTON,0,GANDHINAGAR,7,0,HINDU,299975,0,42575,194,41640,600000,AGRICULTURE - SHORT TERM,0,DATA / VALUE NOT PROVIDED,0,0,0,B,750,0,300000,INDIVIDUAL- MALE,630475,300000,CC,954099,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,600000,STD,0,300000,1,300000,0,0,STD,0,0,0
TL - TO AGRICULTURE,33,202827,RURAL,128160,OBC,ANY OTHER,251580,251579,731,0,REPAIR / CLEANING OF WELLS / PONDS,2741.8165798845084,AHMADNAGAR,10.5,0,HINDU,251579,0,0,309,0,250000,AGRICULTURE - LONG TERM,0,FARMER,0,0,0,C,101580,1,157000,INDIVIDUAL- MALE,0,157000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,500000,DB2,0,157000,4,157000,0,0,DB2,250000,1,0
TL - TO AGRICULTURE,73,43954,SEMI-URBAN,59359,GENERAL,ANY OTHER,158776,158776,619,0,TRACTORS,2741.8165798845084,RAJKOT,13.5,0,HINDU,158776,0,0,323,0,500000,AGRICULTURE - LONG TERM,0,OTHERS,0,0,0,C,63510,1,196000,INDIVIDUAL- FEMALE,0,196000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,696000,DB2,0,196000,4,196000,0,0,DB2,196000,1,0
TL - - RETAIL SCHEMES,39,0,METROPOLITAN,0,DATA / VALUE NOT PROVIDED,DENA NIVAS,77802,77801.7,183,0,PURCHASE OF HOUSE/ FLAT/ APARTMENT ETC,2741.8165798845084,PUNE,10.05,0,DATA / VALUE NOT PROVIDED,77801.7,0,0,387,0,1100000,HOUSING - PS,0,OTHERS,0,0,0,C,311,0,904000,INDIVIDUAL- MALE,0,904000,TL,0,"{""member0"":""2018-06-30T00:00:00Z"",""member1"":null}",0,0,0,0,1100000,STD,0,904000,1,904000,0,0,STD,0,0,0
