ACID,D2D,PD,EAD,LGD,K,RWA,Risk Wt,Res Exp,Provision
115525663_145654031076_2016-09-30,1.3,0.5183,50000.0,0.6889,0.1927,120449.0,240.9,34.0,3.0
006221191_061151000057_2017-12-31,0.0,0.9989,47500.0,1.0,0.0011,627.0,1.32,581.0,58.0
100038537_056454023750_2016-12-31,0.0,0.9997,333386.0,1.0,0.0003,1161.0,0.35,20.0,2.0
100528142_064951023841_2016-09-30,0.0,0.9985,3800000.0,0.7621,0.0012,55845.0,1.47,2.0,0.0
103026407_060351023957_2018-03-31,0.0,0.9998,175000.0,1.0,0.0002,410.0,0.23,8.0,1.0
006221605_061154023814_2017-03-31,0.0,0.9997,95000.0,1.0,0.0003,366.0,0.39,18.0,2.0
115834824_145654031077_2016-09-30,3.5,0.1535,30000.0,0.6527,0.1129,42346.0,141.15,54.0,3.0
111746936_029313023905_2017-09-30,0.0,0.9874,1048516.0,0.9349,0.0115,151228.0,14.42,179.0,18.0
103058316_060351023958_2016-06-30,0.0,0.984,175000.0,0.7611,0.0119,25968.0,14.84,7.0,1.0
003329382_060354024113_2017-09-30,0.0,0.9984,600000.0,0.9916,0.0016,11763.0,1.96,3.0,0.0
102487023_023554031085_2015-09-30,0.0,0.9983,30000.0,0.8523,0.0014,534.0,1.78,0.0,0.0
113599247_127413031790_2016-03-31,6.0,0.0298,1104016.0,0.9331,0.0821,1132452.0,102.58,12.0,0.0
003329397_060354000155_2018-06-30,0.0,0.9998,10000.0,1.0,0.0002,22.0,0.22,1.0,0.0
113737352_127454031900_2017-06-30,0.2,0.9189,127500.0,0.9421,0.07,111560.0,87.5,19.0,2.0
112409929_029313023859_2017-09-30,1.6,0.4436,1671626.0,0.6862,0.1953,4081430.0,244.16,463.0,44.0
114359228_183454031009_2015-09-30,4.6,0.0761,182000.0,0.3988,0.0464,105658.0,58.05,9.0,0.0
114359228_183454031009_2017-12-31,0.0,0.9926,182000.0,0.9863,0.0072,16407.0,9.01,12.0,1.0
114487401_183454031011_2016-12-31,1.2,0.5391,137000.0,0.7189,0.1986,340128.0,248.27,14.0,1.0
109372770_133754031429_2017-03-31,0.1,0.9504,134000.0,0.8175,0.0383,64097.0,47.83,27.0,3.0
003329428_060354000186_2015-09-30,0.0,0.9996,25000.0,1.0,0.0004,110.0,0.44,0.0,0.0
003329428_060354000186_2015-09-30,0.0,0.9996,25000.0,1.0,0.0004,110.0,0.44,0.0,0.0
101878069_071013023848_2016-06-30,1.9,0.3757,1048516.0,0.524,0.1458,1910838.0,182.24,170.0,16.0
003328946_060354000003_2017-03-31,0.0,0.9996,450000.0,0.9823,0.0004,2132.0,0.47,7.0,1.0
103526620_060313024051_2015-09-30,0.1,0.9558,1689626.0,0.5861,0.0246,519639.0,30.75,1.0,0.0
011516958_034254031026_2016-09-30,0.0,0.9999,22500.0,0.9274,0.0001,32.0,0.14,334.0,33.0
109540255_027254031323_2017-09-30,0.9,0.644,105300.0,0.9204,0.2263,297821.0,282.83,29.0,3.0
100414162_058651023866_2016-12-31,0.0,0.9992,2300000.0,0.9035,0.0008,21945.0,0.95,1.0,0.0
103553616_060357031013_2016-03-31,0.0,0.9993,1200000.0,0.9435,0.0007,10252.0,0.85,1.0,0.0
110960618_145454031006_2017-06-30,0.0,0.9909,37500.0,0.8677,0.0078,3645.0,9.72,65.0,6.0
003325412_060354023954_2017-06-30,0.0,0.9994,100000.0,1.0,0.0006,724.0,0.72,16.0,2.0
114563430_029313023851_2016-06-30,0.2,0.9001,1048516.0,0.0,0.0,0.0,0.0,175194.0,17418.0
103555649_034254031065_2017-03-31,0.0,0.9994,28000.0,0.9155,0.0005,185.0,0.66,50.0,5.0
103553616_060357031013_2018-03-31,0.0,0.9997,1200000.0,0.8867,0.0002,3535.0,0.29,16.0,2.0
103572482_034251031222_2015-12-31,4.0,0.112,59950.0,0.7441,0.105,78694.0,131.27,1.0,0.0
003328981_060354000035_2015-09-30,0.0,0.9985,50000.0,0.9642,0.0014,905.0,1.81,1.0,0.0
102316508_064954023776_2016-09-30,0.2,0.8939,6114550.0,0.8116,0.0771,5895689.0,96.42,1.0,0.0
103728372_034254031075_2015-09-30,0.3,0.8729,23750.0,0.3662,0.0409,12137.0,51.1,1.0,0.0
113114064_145413031026_2018-03-31,0.3,0.8619,1943516.0,0.9601,0.1153,2800208.0,144.08,1.0,0.0
011153971_074554031217_2018-03-31,0.3,0.8637,50000.0,0.9615,0.1141,71310.0,142.62,84.0,8.0
003329002_060354000053_2017-06-30,0.0,0.9991,22500.0,1.0,0.0009,251.0,1.12,92.0,9.0
003329011_060354000062_2017-09-30,0.0,0.9983,20000.0,1.0,0.0017,432.0,2.16,87.0,9.0
003329018_060354000069_2017-06-30,0.0,0.9978,10000.0,1.0,0.0022,275.0,2.75,830.0,83.0
004846228_061754000025_2016-12-31,0.0,0.9998,480000.0,0.9962,0.0002,1279.0,0.27,3.0,0.0
103728386_034254031077_2016-06-30,0.0,0.9847,23750.0,0.0065,0.0001,29.0,0.12,235.0,23.0
004846242_061754000030_2015-09-30,0.0,0.9997,500000.0,0.9768,0.0003,2059.0,0.41,0.0,0.0
110015334_027251031243_2017-09-30,0.0,0.9982,196300.0,0.8728,0.0016,3854.0,1.96,8.0,1.0
006222996_061151000024_2017-06-30,0.0,0.9994,189000.0,0.9753,0.0006,1356.0,0.72,13.0,1.0
