D2D,PD,Count,EAD,LGD,K,RWA,Risk Wt,Res Exp
0.0,0.997609398752587,76447,159563443547.44482,0.9503775712001168,0.002104581610306311,2953900737.5424404,1.8512390256005744,609748304.5988865
0.1,0.967479086341,6092,9412079864.573532,0.8691484844746694,0.0270935402098978,3458812047.7294383,36.74864745621407,13933219.92116204
0.2,0.9287438575719034,2012,2807161655.6083374,0.8695828118059284,0.057296057836351166,1928441409.1824863,68.69719830098546,8227327.215849216
0.3,0.8932388238549422,1254,1285165603.5319011,0.8733515144425231,0.08343949965490184,1253755670.9190764,97.55596224124706,409450.97501466575
0.4,0.8591114825449816,773,865749419.2443744,0.8481258392445769,0.10341355855531444,1064296297.4654081,122.9335271624352,80192584.84156343
0.5,0.825466305153142,659,672113095.138974,0.8714330430732254,0.12768843484540385,1012450327.0442832,150.63689940975442,5518414.361894695
0.6,0.7943917993366848,459,461073708.20227337,0.8765742586209316,0.14678943572153572,798104442.8845727,173.09693194096502,306696.59016085806
0.7,0.7644756793420076,429,443370033.75057185,0.8853123725827735,0.16472153162350325,867384151.223649,195.6343652470695,78979046.52008916
0.8,0.7348436626553182,337,322548529.6006805,0.8829651678203659,0.17932841242958053,680246437.5688789,210.8973922190975,796133.1323959423
0.9,0.7055846344839576,326,314561868.1508789,0.8668424096708386,0.18932533109111496,698019662.0334482,221.9021860903511,390776.6873791147
1.0,0.6788365747898247,314,332382589.1403837,0.8940168933026792,0.20662940508831754,819606467.6221068,246.58525879523165,5032248.334980812
1.1,0.6523424542932955,279,269445657.2603358,0.8997392387928,0.21813574380987624,700677441.7102,260.04406559546516,12224375.112479817
1.2,0.6265814684091076,248,241603852.40008894,0.8758118167299414,0.22093555149985689,626487972.9922565,259.3038011475126,302488.4355625521
1.3,0.6023996257119708,252,243912580.9007997,0.8731044109517248,0.2273624743705872,643852345.0593114,263.96848521773006,33450668.72078327
1.4,0.579888494605692,234,220260808.2105472,0.8926478563238888,0.23819109640121394,619903094.6354963,281.4404885152928,21373.897703910203
1.5,0.5564627217375524,219,219236045.57125372,0.873097085307584,0.23802167578275274,619579701.6079767,282.60850080266914,36612.62809049079
1.6,0.5344766897447942,209,205178620.48858726,0.895905533004786,0.24819922898670865,609072500.5074582,296.8498857517842,31124.54982089031
1.7,0.5129856308108395,206,706514355.0695705,0.8799230229883461,0.24676563371620103,2326150234.740237,329.24316654700965,689665.0184305169
1.8,0.4921165258480758,189,212799294.9362145,0.8789073262049844,0.24854517588090644,643032374.5719194,302.17786894672986,152183.73884019774
1.9,0.4728146741787593,180,193282440.86026728,0.8858753885191012,0.2517000725789991,588071385.8265525,304.2549458756557,171797.1516849476
2.0,0.45343949998679917,190,171525026.82213122,0.9122604559273704,0.2596894080918435,536418046.49408376,312.7345649975271,271287.20802290156
2.1,0.4345993871490161,168,177497254.29807842,0.8957102896487673,0.2547321077459362,556368502.8345058,313.45189255726365,23516.72870232191
