X,Y,SUM(Correlation)
Age,Age,1
Age,CAD,0.0018528292304525857
Age,UsedRv,0.015862327537852317
Age,Balance,0.015907074583963374
Age,Product,-0.09050564466034902
Age,TotOsNF,0.0013353414873362164
Age,AdhocAmt,-0.0003370299025216539
Age,InttRate,0.006480751937326195
Age,InttType,0.02249007538023211
Age,TotalAdv,0.005281979207510777
Age,CURQTRINT,0.024114052999106253
Age,GLProduct,-0.10035061684956918
Age,PRVQTRINT,0.0325174198824468
Age,RvPrimary,-0.001961959701940122
Age,Unsecured,0.0006142690921940715
Age,CoverGovGur,-0.001549246368177525
Age,DepValPlant,-0.0016198857572115146
Age,ACCTotalProv,0.002959836205479967
Age,BaselCatMark,0.0035197754793451345
Age,CURRENTLIMIT,0.020381025757659384
Age,CurQtrCredit,0.004374927139245914
Age,DRAWINGPOWER,0.0016306289500982
Age,PREQTRCREDIT,-0.00018140495234938352
Age,UnAdjSubSidy,-0.0019263802885087725
Age,UnappliedInt,0.0027066244910085037
Age,ProvUnsecured,-0.005278583474930401
Age,TotalWriteOff,0.0028996441021236783
Age,AppropriatedRv,-0.0017440004845484095
Age,OrgCostOfEquip,-0.012609761939544939
Age,TotLimitFunded,0.0155114155085163
Age,Cust_AssetClass,0.006605977590618675
Age,LimitSanctioned,0.01707809679380336
Age,PriCashSecurity,-0.0014299204325177708
Age,CollCashSecurity,0.0005433614613983613
Age,CollNonCRMSecurity,-0.000056443348608760465
Age,NextOneYrFacStatus,-0.007144482009073156
Age,OrgCostOfPlantMech,-0.001926913765416485
CAD,Age,0.0018528292304525857
CAD,CAD,1
CAD,UsedRv,0.37081520117696254
CAD,Balance,0.37244128940686755
CAD,Product,0.003236427069306386
CAD,TotOsNF,-0.00006958450032229057
CAD,AdhocAmt,-0.00006839185907684712
CAD,InttRate,0.026839154223467162
CAD,InttType,-0.00033334638321128805
CAD,TotalAdv,0.6770409061060826
CAD,CURQTRINT,0.0005573929891267981
CAD,GLProduct,-0.00048613785530209075
CAD,PRVQTRINT,0.03313894639674649
