District,SUM(DB1),SUM(DB2),SUM(DB3),SUM(LOS),SUM(STD),SUM(SUB)
GWALIOR,NULL,NULL,NULL,NULL,142,4
SHIMOGA,NULL,NULL,1,NULL,38,1
SANGRUR,4,1,NULL,NULL,895,20
BOKARO,20,NULL,NULL,29,410,30
RAJNANDGAON,657,306,188,527,6990,525
EAST MIDNAPUR (PURBA MEDINIPUR),6,2,NULL,NULL,232,12
BARWANI,42,278,219,NULL,543,45
SURGUJA,NULL,NULL,NULL,NULL,32,NULL
DEHRA DUN,5,NULL,3,13,598,1
DARBHANGA,2,6,2,NULL,160,11
MANDI,NULL,NULL,NULL,NULL,51,NULL
PASCHIM MEDINIPUR,NULL,NULL,NULL,NULL,101,2
GONDIA,40,112,436,18,2293,77
MANSA,NULL,NULL,NULL,NULL,87,NULL
KOLKATA,2,NULL,5,13,1015,7
BULANDSHAHR,5,NULL,NULL,NULL,87,NULL
KENDRAPARA,NULL,NULL,NULL,NULL,20,3
MANDLA,NULL,NULL,NULL,NULL,10,NULL
INDORE,NULL,20,3,NULL,752,1
GUNTUR,22,41,44,1,3483,69
