TotalAdv_BIN,TotalAdv_BIN_LOWER_BOUND,TotalAdv_BIN_STEP,COUNT
19,4499644.5,249980.25,241
7,1499881.5,249980.25,5776
6,1249901.25,249980.25,9862
9,1999842,249980.25,2957
17,3999684,249980.25,410
5,999921,249980.25,17664
1,0,249980.25,984886
10,2249822.25,249980.25,2323
3,499960.5,249980.25,78657
12,2749782.75,249980.25,1338
8,1749861.75,249980.25,4026
11,2499802.5,249980.25,1615
2,249980.25,249980.25,361114
4,749940.75,249980.25,34347
13,2999763,249980.25,1007
18,4249664.25,249980.25,292
14,3249743.25,249980.25,770
15,3499723.5,249980.25,655
20,4749624.75,249980.25,261
16,3749703.75,249980.25,493
